year,city,country,avg_temp
1824,Kingston,Jamaica,26.70
1825,Kingston,Jamaica,26.65
1826,Kingston,Jamaica,26.68
1827,Kingston,Jamaica,27.18
1828,Kingston,Jamaica,26.94
1829,Kingston,Jamaica,26.23
1830,Kingston,Jamaica,26.92
1831,Kingston,Jamaica,25.98
1832,Kingston,Jamaica,25.48
1833,Kingston,Jamaica,
1834,Kingston,Jamaica,23.93
1835,Kingston,Jamaica,25.80
1836,Kingston,Jamaica,25.78
1837,Kingston,Jamaica,26.02
1838,Kingston,Jamaica,25.85
1839,Kingston,Jamaica,26.11
1840,Kingston,Jamaica,26.13
1841,Kingston,Jamaica,25.84
1842,Kingston,Jamaica,26.24
1843,Kingston,Jamaica,26.10
1844,Kingston,Jamaica,25.64
1845,Kingston,Jamaica,25.69
1846,Kingston,Jamaica,26.50
1847,Kingston,Jamaica,26.25
1848,Kingston,Jamaica,26.22
1849,Kingston,Jamaica,26.64
1850,Kingston,Jamaica,26.49
1851,Kingston,Jamaica,26.32
1852,Kingston,Jamaica,25.97
1853,Kingston,Jamaica,26.28
1854,Kingston,Jamaica,26.22
1855,Kingston,Jamaica,26.44
1856,Kingston,Jamaica,26.93
1857,Kingston,Jamaica,25.69
1858,Kingston,Jamaica,25.82
1859,Kingston,Jamaica,26.00
1860,Kingston,Jamaica,26.09
1861,Kingston,Jamaica,26.36
1862,Kingston,Jamaica,26.33
1863,Kingston,Jamaica,26.34
1864,Kingston,Jamaica,25.97
1865,Kingston,Jamaica,26.40
1866,Kingston,Jamaica,25.75
1867,Kingston,Jamaica,26.16
1868,Kingston,Jamaica,26.63
1869,Kingston,Jamaica,27.12
1870,Kingston,Jamaica,26.24
1871,Kingston,Jamaica,26.25
1872,Kingston,Jamaica,26.62
1873,Kingston,Jamaica,25.96
1874,Kingston,Jamaica,26.24
1875,Kingston,Jamaica,26.52
1876,Kingston,Jamaica,26.67
1877,Kingston,Jamaica,26.81
1878,Kingston,Jamaica,27.35
1879,Kingston,Jamaica,26.59
1880,Kingston,Jamaica,26.41
1881,Kingston,Jamaica,26.02
1882,Kingston,Jamaica,25.92
1883,Kingston,Jamaica,26.55
1884,Kingston,Jamaica,25.95
1885,Kingston,Jamaica,26.26
1886,Kingston,Jamaica,26.12
1887,Kingston,Jamaica,25.99
1888,Kingston,Jamaica,26.32
1889,Kingston,Jamaica,26.55
1890,Kingston,Jamaica,26.10
1891,Kingston,Jamaica,26.62
1892,Kingston,Jamaica,26.16
1893,Kingston,Jamaica,25.97
1894,Kingston,Jamaica,25.94
1895,Kingston,Jamaica,26.13
1896,Kingston,Jamaica,26.33
1897,Kingston,Jamaica,26.80
1898,Kingston,Jamaica,26.44
1899,Kingston,Jamaica,26.50
1900,Kingston,Jamaica,26.79
1901,Kingston,Jamaica,26.26
1902,Kingston,Jamaica,26.41
1903,Kingston,Jamaica,26.61
1904,Kingston,Jamaica,26.25
1905,Kingston,Jamaica,26.61
1906,Kingston,Jamaica,26.40
1907,Kingston,Jamaica,26.46
1908,Kingston,Jamaica,26.49
1909,Kingston,Jamaica,26.15
1910,Kingston,Jamaica,25.94
1911,Kingston,Jamaica,26.54
1912,Kingston,Jamaica,26.67
1913,Kingston,Jamaica,26.26
1914,Kingston,Jamaica,26.58
1915,Kingston,Jamaica,26.77
1916,Kingston,Jamaica,26.25
1917,Kingston,Jamaica,25.96
1918,Kingston,Jamaica,26.22
1919,Kingston,Jamaica,26.71
1920,Kingston,Jamaica,26.61
1921,Kingston,Jamaica,26.54
1922,Kingston,Jamaica,26.56
1923,Kingston,Jamaica,26.70
1924,Kingston,Jamaica,26.86
1925,Kingston,Jamaica,26.56
1926,Kingston,Jamaica,26.96
1927,Kingston,Jamaica,26.71
1928,Kingston,Jamaica,26.70
1929,Kingston,Jamaica,26.63
1930,Kingston,Jamaica,26.79
1931,Kingston,Jamaica,26.87
1932,Kingston,Jamaica,26.79
1933,Kingston,Jamaica,26.49
1934,Kingston,Jamaica,26.41
1935,Kingston,Jamaica,26.35
1936,Kingston,Jamaica,26.76
1937,Kingston,Jamaica,26.78
1938,Kingston,Jamaica,26.58
1939,Kingston,Jamaica,26.67
1940,Kingston,Jamaica,27.12
1941,Kingston,Jamaica,27.26
1942,Kingston,Jamaica,27.14
1943,Kingston,Jamaica,26.80
1944,Kingston,Jamaica,26.71
1945,Kingston,Jamaica,26.57
1946,Kingston,Jamaica,26.74
1947,Kingston,Jamaica,26.96
1948,Kingston,Jamaica,27.16
1949,Kingston,Jamaica,26.55
1950,Kingston,Jamaica,26.26
